,Sale,InStrSpending,Discount,TVSpending,StockRate,Price,Radio,OnlineAdsSpending
429,177686,27.76,0.04,115.76,0.05,14.2,855,2739.69
430,123079,44.18,0.16,65.33,0.36,24.79,18,779.09
431,146265,42.28,0.17,119.37,0.78,24.66,2194,848.15
432,268209,36.91,0.24,119.04,0.17,4.91,2087,152.9
433,221399,32.8,0.32,98.51,0.65,7.75,1607,385.54
434,320793,53.03,0.08,182.91,0.55,9.43,1579,343.84
435,121011,25.3,0.03,76.56,0.63,17.57,2429,405.77
436,232121,52.42,0.03,59.46,0.29,11.66,329,1822.39
437,189217,28.84,0.09,104.29,0.67,10.91,842,1589.58
438,174797,14.47,0.17,138.21,0.51,10.05,1969,2478.89
439,190238,47.73,0.08,70.24,0.86,15.96,1131,888.07
440,74472,35.12,0.49,48.3,0.38,27.16,545,67.68
441,123863,37.0,0.06,126.28,0.97,25.59,1244,251.61
442,212758,59.27,0.29,81.36,0.69,19.0,931,1602.81
443,118225,47.85,0.3,101.56,0.88,29.7,989,62.88
444,110748,47.14,0.4,7.88,0.75,22.14,2881,2420.34
445,135127,4.86,0.18,34.7,0.05,3.36,151,1466.26
446,57216,3.43,0.01,72.09,0.64,17.2,41,655.93
447,163470,18.06,0.39,165.71,0.69,15.89,791,1882.98
448,268114,38.35,0.16,172.89,0.18,10.53,1053,3020.05
449,96849,52.48,0.23,41.07,0.93,29.09,1420,1133.01
450,113309,15.59,0.07,82.24,0.04,16.31,1093,858.52
451,139411,13.6,0.37,37.05,0.91,5.31,959,2283.54
452,224263,48.02,0.14,57.14,0.18,10.93,1173,3093.09
453,181061,39.89,0.0,91.66,0.8,15.35,989,862.21
454,125801,4.17,0.0,43.74,0.75,3.62,2241,1820.2
455,308471,58.19,0.28,68.38,0.87,2.55,2656,363.67
456,303058,58.28,0.33,43.74,0.2,3.02,959,3040.89
457,388244,59.2,0.14,167.42,0.32,1.73,1216,571.26
458,188904,49.73,0.17,199.23,0.84,27.92,413,1034.06
459,128132,2.37,0.07,70.59,0.19,6.37,1410,2415.45
460,40447,12.96,0.13,55.49,0.2,24.3,170,895.25
461,165698,21.04,0.17,160.71,0.58,16.28,2665,2996.78
462,126689,25.85,0.08,165.08,0.3,25.75,44,1741.15
463,29653,4.28,0.49,34.5,0.12,20.9,1850,405.99
464,291348,44.02,0.11,163.48,0.11,9.04,1929,186.36
465,217007,36.04,0.24,101.97,0.51,10.68,2379,2064.76
466,133679,44.25,0.49,13.45,0.95,17.59,2063,2072.06
467,105735,31.14,0.41,57.3,0.6,20.94,2089,672.38
468,218742,30.89,0.39,37.54,0.84,0.7,2550,2709.71
469,170674,1.9,0.4,86.69,0.08,1.55,2354,54.3
470,173726,17.79,0.48,196.71,0.19,18.2,2707,623.49
471,293197,41.85,0.36,141.09,0.71,4.35,1236,1382.62
472,196462,17.09,0.11,194.62,0.75,12.44,2775,1079.08
473,87366,6.63,0.13,193.0,0.98,24.07,2699,3153.92
474,134266,46.26,0.29,108.18,0.76,27.45,1876,2073.7
475,272251,32.48,0.26,137.03,0.31,4.13,2257,1457.26
476,204872,50.79,0.46,187.7,0.34,26.94,1986,241.32
477,135427,16.02,0.24,53.77,0.92,8.55,1917,1155.89
478,74981,7.69,0.5,186.51,0.38,27.45,1226,2326.92
479,210875,39.01,0.15,192.67,0.65,20.45,2581,282.06
480,10677,23.31,0.29,6.35,0.78,28.51,1221,454.98
481,276332,56.58,0.29,32.24,0.18,4.46,2170,3195.39
482,270534,27.69,0.47,186.86,0.88,5.36,2703,2230.44
483,44571,14.35,0.01,52.21,0.92,21.93,2131,2189.47
484,263822,47.79,0.05,106.5,0.38,8.83,1876,1058.93
485,117710,43.68,0.03,19.07,0.73,20.65,2624,2382.21
486,122946,59.96,0.31,35.87,0.68,28.87,1966,537.98
487,202136,48.1,0.31,13.74,0.63,9.69,220,2131.03
488,163143,34.31,0.43,2.26,0.48,8.66,2889,1313.92
489,101347,32.35,0.5,87.95,0.18,25.94,2243,1588.85
490,214615,43.93,0.12,124.97,0.15,17.96,2131,461.57
491,308131,52.72,0.41,73.69,0.65,1.11,342,2039.37
492,57799,5.26,0.38,6.09,0.38,12.95,1986,2383.2
493,119558,12.11,0.27,185.64,0.99,21.19,1869,2150.59
494,263952,44.88,0.14,76.92,0.16,5.29,2144,1627.13
495,331853,43.71,0.09,166.73,0.89,1.97,969,603.2
496,248282,59.88,0.42,131.35,0.78,17.94,213,2184.55
497,61652,4.0,0.48,23.74,0.49,13.86,81,2452.32
498,175908,3.49,0.0,198.02,0.51,10.47,226,889.25
499,126895,48.96,0.12,23.27,0.38,22.5,280,2963.82
500,211719,40.68,0.36,116.89,0.09,14.92,179,2341.99
501,145196,24.18,0.03,75.95,0.96,11.94,954,3024.05
502,77782,15.39,0.31,68.53,0.28,20.15,208,338.58
503,106742,1.45,0.19,194.76,0.48,19.91,2053,2767.98
504,102173,24.41,0.02,133.55,0.16,26.06,1628,2000.29
505,80258,16.61,0.27,164.37,0.57,28.21,990,2773.11
506,344210,56.44,0.01,180.85,0.45,7.87,825,803.81
507,265348,55.84,0.33,32.14,0.84,4.82,1552,1908.03
508,125297,38.75,0.18,13.69,0.11,17.86,2662,1774.79
509,30738,24.51,0.08,16.23,0.95,25.82,1995,2014.99
510,103134,34.72,0.46,84.97,0.6,25.69,835,2524.52
511,267402,43.52,0.44,101.41,0.96,4.89,2262,2045.45
512,63239,2.6,0.2,60.48,0.67,15.61,1947,1248.76
513,181764,1.54,0.29,199.45,0.29,9.29,2835,3104.37
514,77838,41.0,0.36,40.06,0.59,28.29,1961,181.2
515,150668,4.84,0.48,186.08,0.15,14.86,1235,1062.4
516,229804,52.31,0.3,153.3,0.67,19.81,657,1961.97
517,91813,17.73,0.25,71.84,0.91,17.74,1934,82.68
518,238071,24.66,0.15,97.57,0.68,0.86,2772,2773.83
519,123664,14.08,0.33,97.23,0.95,13.42,2064,2315.31
520,227403,23.77,0.24,70.98,0.03,1.36,1391,3157.02
521,285658,55.51,0.21,66.81,0.26,5.5,2628,1433.51
522,187345,17.5,0.26,137.73,0.94,8.81,873,469.15
523,106021,6.27,0.02,14.82,0.15,6.47,70,1720.26
524,14219,11.11,0.08,69.5,0.96,27.77,2175,1357.99
525,171252,15.9,0.33,45.3,0.01,3.74,2500,696.64
526,101084,49.5,0.29,32.05,0.57,27.43,677,1605.44
527,54126,31.82,0.42,16.94,0.16,27.6,1017,2468.71
528,138562,55.92,0.15,49.99,0.32,26.32,1302,2297.82
529,225261,52.4,0.43,146.3,0.47,20.16,1607,588.2
530,95751,19.42,0.02,171.76,0.96,26.96,2938,1536.59
531,121883,19.51,0.29,175.84,0.56,24.1,206,1556.74
532,68155,4.07,0.38,70.76,0.58,16.66,2187,2602.05
533,187590,23.82,0.31,13.39,0.54,0.92,569,642.92
534,300443,41.29,0.02,164.2,0.0,6.88,2833,1298.29
535,226824,52.09,0.22,196.22,0.41,24.38,2142,2517.51
536,50683,7.04,0.33,121.13,0.34,25.53,1260,3161.64
537,246309,51.86,0.45,43.91,0.06,8.42,1798,2132.5
538,79067,36.1,0.06,27.43,0.02,25.57,2044,1773.12
539,235055,48.84,0.12,32.56,0.74,6.05,2400,3010.21
540,116680,43.84,0.16,35.02,0.86,22.45,2187,2505.36
541,139394,7.89,0.02,127.27,0.67,11.58,2427,338.55
542,185444,30.45,0.06,21.08,0.09,5.6,308,1024.05
543,161906,38.85,0.01,17.02,0.52,11.29,1396,2695.02
544,72482,7.21,0.44,114.52,0.47,20.87,2003,796.73
545,189474,27.59,0.19,124.54,0.75,12.36,834,3170.06
546,262027,39.42,0.43,88.42,0.9,2.75,2870,2028.11
547,92646,7.51,0.41,23.44,0.51,9.51,2284,1246.05
548,51581,21.33,0.09,53.19,0.88,24.0,1689,1674.52
549,185353,23.92,0.0,155.05,0.34,15.23,1164,2919.06
550,201904,52.21,0.27,79.52,0.85,16.4,515,2955.94
551,150505,52.41,0.06,15.39,0.61,19.27,471,2283.71
552,187682,35.54,0.07,131.9,0.18,17.26,926,1899.44
553,156763,25.18,0.01,33.15,0.58,7.96,2830,1993.45
554,107440,39.68,0.38,86.25,0.08,28.03,922,1227.55
555,303883,46.03,0.23,120.73,0.82,2.65,2244,851.52
556,278205,49.65,0.18,180.87,0.72,13.88,2231,1488.89
557,118044,13.92,0.06,96.64,0.93,13.77,2869,2724.92
558,178560,1.55,0.34,192.3,0.51,8.66,1443,2648.35
559,128522,52.26,0.2,70.1,0.08,29.28,2446,1813.95
560,189997,47.38,0.0,103.6,0.98,18.35,104,2005.87
561,246240,50.67,0.49,128.35,0.16,15.43,888,2101.0
562,132768,12.81,0.47,36.36,0.13,8.12,2885,1874.09
563,175761,11.17,0.22,166.47,0.98,10.03,661,1413.93
564,136539,37.25,0.28,65.35,0.73,18.99,1553,1330.01
565,247542,27.57,0.04,109.34,0.01,3.32,1607,3189.92
566,10279,3.42,0.15,105.99,0.82,28.51,981,1688.25
567,56057,9.06,0.27,32.27,0.61,17.05,1211,414.02
568,217686,58.13,0.43,175.26,0.28,26.91,1437,1433.87
569,66449,4.62,0.02,83.63,0.81,17.3,2061,362.34
570,251271,47.4,0.45,121.66,0.41,12.31,276,3098.94
571,291991,57.32,0.23,146.6,0.82,11.92,1312,2901.29
572,94756,15.56,0.42,74.94,0.12,17.85,2553,1025.82
573,231173,36.66,0.26,54.73,0.66,4.02,1099,2082.32
574,229473,40.05,0.12,114.86,0.26,11.77,957,2551.75
575,81898,1.57,0.25,79.54,0.43,14.28,66,284.07
576,171241,15.46,0.38,177.83,0.44,14.75,2906,2730.51
577,197249,25.07,0.23,124.73,0.25,10.7,391,523.57
578,45746,11.07,0.36,61.29,0.97,21.57,664,2868.02
579,219266,57.05,0.35,102.99,0.31,19.73,253,1737.41
580,88328,40.83,0.14,0.4,0.5,22.39,1227,3047.24
581,365597,48.47,0.07,192.18,0.42,2.21,1176,2314.66
582,189891,41.73,0.43,10.4,0.35,8.43,2006,178.96
583,122346,45.62,0.41,80.48,0.39,27.19,2494,1890.57
584,234070,14.25,0.36,138.93,0.18,2.08,2958,1643.26
585,346981,51.72,0.37,188.89,0.4,5.99,1172,331.12
586,186425,52.36,0.35,10.11,0.0,14.89,1025,947.77
587,96214,42.95,0.06,64.9,0.08,28.84,2521,1619.65
588,83983,20.76,0.34,54.19,0.8,19.05,918,412.49
589,163504,55.16,0.11,10.05,0.46,18.17,656,2638.45
590,75759,33.69,0.33,36.24,0.34,25.05,1430,793.0
591,212938,39.51,0.18,133.29,0.4,15.08,1822,1156.93
592,195623,33.23,0.41,68.08,0.84,8.51,2261,607.79
593,126391,16.45,0.3,70.85,0.64,11.79,2892,705.51
594,241965,38.55,0.36,185.29,0.36,15.57,2920,1879.58
595,112183,2.52,0.36,93.34,0.69,10.39,2226,2928.44
596,240732,35.78,0.28,83.67,0.27,5.12,2940,1449.23
597,20930,2.38,0.33,107.13,0.48,27.4,255,143.55
598,164122,46.92,0.22,119.38,0.87,23.68,313,168.67
599,203306,48.16,0.12,161.13,0.24,23.13,804,1109.5
600,269006,42.52,0.23,199.91,0.17,14.95,417,120.21
601,43609,3.62,0.35,45.87,0.86,17.82,1574,1288.08
602,170516,59.78,0.36,1.28,0.53,18.72,1013,2734.08
603,256720,53.22,0.28,142.95,0.76,15.07,2718,2693.17
604,251434,59.05,0.26,18.41,0.21,8.14,865,2663.65
605,259457,44.74,0.26,168.84,0.93,12.64,2823,1312.97
606,86279,3.12,0.26,111.81,0.76,16.22,2424,142.68
607,238590,49.07,0.45,79.05,0.38,11.2,48,1669.86
608,189521,39.27,0.44,143.75,0.69,19.49,2063,1705.78
609,186558,23.77,0.43,144.69,0.97,12.31,1469,2622.97
610,36105,2.41,0.01,48.3,0.63,18.78,2106,1994.04
611,99338,35.42,0.25,33.64,0.6,21.48,2265,169.39
612,207450,40.81,0.13,147.77,0.3,18.34,162,2284.67
613,152059,34.81,0.08,175.49,0.34,26.14,1271,434.39
614,96097,52.68,0.2,9.92,0.88,26.9,1993,120.09
615,285988,50.44,0.21,165.46,0.24,12.26,386,2435.22
616,243750,35.29,0.4,120.71,0.47,8.06,501,1717.95
617,301624,52.24,0.14,155.61,0.48,9.57,1137,1510.09
618,179165,25.94,0.05,16.71,0.9,2.81,328,1202.63
619,238256,29.81,0.22,171.96,0.77,9.86,1185,2696.12
620,144500,37.43,0.4,155.41,0.14,27.12,2939,275.63
621,197797,31.51,0.38,12.51,0.09,3.87,528,2555.05
622,109038,4.33,0.06,119.43,0.38,14.23,2415,286.31
623,115400,6.41,0.38,161.8,0.52,18.19,343,609.22
624,43333,35.54,0.43,13.69,0.56,29.15,2838,2697.43
625,39530,10.63,0.15,129.9,0.98,28.42,261,1631.12
626,220783,16.49,0.04,83.72,0.05,0.44,2426,2422.17
627,230921,7.29,0.39,194.23,0.95,2.56,446,2672.78
628,315382,55.14,0.05,132.36,0.63,6.15,2750,801.15
629,180966,49.56,0.25,86.0,0.25,20.37,44,1493.39
630,146835,32.97,0.39,53.1,0.98,14.43,354,1921.71
631,138201,6.25,0.26,115.86,0.31,10.37,1278,1890.77
632,229978,23.93,0.05,124.53,0.29,4.88,282,2521.71
633,248158,58.07,0.39,115.53,0.93,15.57,2785,1189.88
634,140356,37.18,0.41,156.66,0.6,26.84,604,2582.74
635,101059,51.61,0.19,2.0,0.95,24.3,1625,2528.27
636,93754,36.78,0.48,81.55,0.04,28.83,337,213.31
637,202540,22.05,0.48,69.02,0.44,3.45,2309,126.14
638,308113,52.1,0.04,126.48,0.82,5.2,1193,317.56
639,335083,53.69,0.44,131.35,0.94,2.35,1419,1470.6
640,133432,31.14,0.26,36.57,0.9,13.82,2282,2776.71
641,19954,4.09,0.26,6.02,0.88,18.32,1808,2372.19
642,140337,10.02,0.17,13.45,0.12,3.09,867,3089.66
643,179732,59.47,0.41,116.59,0.85,26.62,853,2919.07
644,143127,29.93,0.04,158.31,0.39,23.87,2803,1281.14
645,274690,39.71,0.14,169.02,0.88,8.31,1720,2318.59
646,171752,41.74,0.16,189.35,0.95,26.05,1521,1908.46
647,102962,23.55,0.3,94.85,0.65,20.91,2383,22.69
648,74219,21.99,0.49,118.57,0.74,27.03,1207,1303.71
649,179844,27.26,0.07,23.98,0.48,4.55,2373,67.32
650,165517,1.48,0.06,100.63,0.2,2.52,2137,1147.98
651,237157,40.59,0.35,61.44,0.49,5.15,613,2331.18
652,116511,48.09,0.15,38.12,0.87,23.82,2443,1768.65
653,231690,0.45,0.46,187.59,0.41,0.79,1489,779.02
654,162174,51.8,0.2,147.49,0.42,29.59,702,1899.19
655,347581,52.71,0.45,121.94,0.21,1.29,1410,201.3
656,230048,33.25,0.06,86.26,0.01,6.24,357,3014.1
657,261574,29.75,0.01,164.6,0.22,6.66,1609,2626.72
658,224539,55.62,0.35,41.51,0.81,11.32,2856,1977.93
659,190421,28.75,0.38,160.53,0.51,16.08,314,372.26
660,155879,49.08,0.49,98.22,0.39,25.06,2631,676.82
661,105244,17.22,0.16,81.93,0.1,17.73,342,520.04
662,227790,44.56,0.47,94.78,0.59,11.96,1469,840.63
663,85197,5.95,0.17,150.48,0.32,21.67,2094,18.77
664,95500,29.5,0.22,41.25,0.45,20.88,1959,764.79
665,122103,32.48,0.15,64.23,0.59,19.12,654,457.8
666,136063,49.9,0.08,108.84,0.9,28.1,636,1025.98
667,186293,37.43,0.24,193.62,0.07,24.44,172,2741.03
668,203783,16.19,0.39,83.44,0.91,0.55,2479,1188.07
669,142611,59.8,0.11,18.47,0.84,23.86,969,1638.68
670,99054,27.31,0.22,3.62,0.39,15.55,254,3089.95
671,115518,20.75,0.34,190.56,0.5,27.01,1927,2655.81
672,181147,19.13,0.26,22.66,0.47,1.03,1936,452.43
673,67294,40.17,0.05,17.4,0.32,27.63,2048,1120.6
674,324170,59.02,0.42,88.56,0.44,3.73,1604,2742.24
675,249703,35.27,0.35,157.47,0.22,10.67,947,2875.51
676,243443,13.8,0.23,150.19,0.08,1.95,546,3026.29
677,114024,53.71,0.12,20.89,0.38,27.25,681,1721.99
678,219372,5.8,0.25,158.52,0.65,1.1,2705,2588.16
679,294684,27.81,0.43,177.22,0.13,2.33,2258,632.61
680,121483,26.72,0.15,152.17,0.38,25.35,753,1569.0
681,116203,19.59,0.07,93.26,0.55,17.35,877,2872.1
682,173008,48.36,0.1,22.32,0.11,15.74,2770,2946.47
683,110496,45.49,0.45,1.81,0.05,22.67,377,3197.92
684,171704,41.53,0.2,74.5,0.22,17.23,492,2843.52
685,286686,48.57,0.21,91.79,0.9,3.3,2779,1210.61
686,172970,43.63,0.18,31.3,0.83,13.02,560,290.31
687,144844,12.35,0.34,82.24,0.08,9.58,2372,2482.77
688,246883,31.08,0.37,141.89,0.71,6.45,564,765.98
689,264005,52.13,0.28,135.51,0.83,12.73,126,247.95
690,24007,21.1,0.15,53.71,0.89,29.1,428,2080.82
691,334747,47.03,0.02,168.93,0.91,2.57,1721,2821.47
692,292752,59.78,0.34,39.0,0.64,3.48,2729,1455.86
693,150598,38.63,0.16,41.81,0.54,16.12,636,2584.4
694,197384,28.79,0.33,15.12,0.89,1.36,641,1457.81
695,250151,18.92,0.22,186.31,0.83,4.5,2180,1969.37
696,194710,41.4,0.48,52.65,0.68,11.07,1381,1203.81
697,200159,45.37,0.32,150.05,0.12,21.4,585,1677.62
698,79298,10.05,0.11,129.66,0.14,23.1,544,479.71
699,248711,49.36,0.2,91.69,0.23,10.52,1850,1941.49
700,132836,31.98,0.12,74.91,0.49,18.84,67,1023.11
701,156624,14.44,0.18,131.28,0.39,12.44,1728,79.42
702,103664,30.35,0.45,31.36,0.2,19.32,688,27.19
703,163176,27.63,0.02,110.13,0.94,14.16,125,1471.81
704,268875,59.55,0.48,58.29,0.75,8.08,317,93.76
705,92479,11.97,0.23,181.65,0.6,25.66,2793,1750.13
706,180366,19.4,0.03,114.18,0.78,8.36,2214,2439.0
707,108421,23.46,0.43,86.47,0.07,20.9,1334,1574.17
708,120406,1.33,0.21,38.77,0.13,4.85,2663,3186.06
709,214382,46.48,0.11,65.64,0.39,11.95,181,271.25
710,133446,13.24,0.35,166.99,0.05,19.95,726,2130.45
711,124027,27.23,0.34,133.37,0.04,24.21,164,3037.7
712,262004,56.2,0.48,113.24,0.49,13.45,230,167.29
713,164015,24.12,0.21,15.4,0.04,5.88,18,124.82
714,185138,18.48,0.19,45.78,0.35,2.18,1598,3165.2
715,213363,12.51,0.07,167.84,0.11,7.38,2647,3136.02
716,48654,2.31,0.02,79.9,0.07,20.82,1828,2195.49
717,249702,50.45,0.1,179.68,0.23,19.23,2420,848.73
718,140870,5.14,0.14,74.43,0.41,5.77,1421,623.82
719,191482,32.4,0.03,193.99,0.38,20.71,403,456.91
720,259723,19.46,0.37,159.55,0.11,2.45,87,2777.91
721,226208,41.37,0.26,108.35,0.91,10.81,421,925.28
722,146291,4.57,0.45,123.36,0.02,9.7,2591,385.21
723,95711,37.55,0.06,80.72,0.62,27.28,1680,417.03
724,115128,20.21,0.48,150.35,0.95,22.14,1656,1658.77
725,332658,45.66,0.0,183.01,0.12,5.44,1930,277.18
726,185083,1.84,0.21,130.83,0.22,2.94,250,1337.55
727,146017,29.01,0.24,30.99,0.81,10.74,1311,388.39
728,265078,58.41,0.23,188.22,0.03,21.78,4,2141.66
729,217569,31.26,0.39,93.61,0.86,6.34,2042,1150.16
730,125910,56.34,0.08,53.71,0.82,28.18,2153,1719.28
731,119130,13.48,0.19,136.77,0.27,18.97,1125,722.13
732,132839,12.24,0.33,85.69,0.24,11.92,887,249.21
733,94059,45.32,0.18,30.9,0.74,26.72,118,3042.38
734,286782,50.65,0.18,171.6,0.95,11.68,1140,659.16
735,221083,59.26,0.44,119.53,0.68,21.21,1545,1225.07
736,172578,39.52,0.32,28.06,0.09,12.59,1997,810.24
737,189152,14.02,0.26,122.0,0.68,5.96,1674,342.49
738,154636,22.08,0.11,61.69,0.21,10.25,2879,611.4
739,208318,28.98,0.41,45.22,0.84,2.25,535,2859.23
740,44630,1.8,0.19,77.85,0.28,21.03,1701,2108.49
741,160546,20.39,0.06,86.4,0.98,9.14,1829,971.95
742,236496,40.78,0.23,21.18,0.28,2.22,1135,1400.85
743,102107,25.82,0.29,28.57,0.66,16.7,218,2191.12
744,223158,40.99,0.17,10.67,0.73,2.51,2266,1203.11
745,148283,18.92,0.13,103.74,0.58,13.2,545,334.91
746,130240,14.98,0.03,134.8,0.68,18.03,2694,2066.97
747,174196,26.32,0.31,181.57,0.41,19.76,2246,747.81
748,154523,56.64,0.45,61.36,0.7,24.97,191,1899.79
749,216714,37.17,0.29,172.6,0.49,17.51,2322,546.6
750,160634,2.04,0.33,156.75,0.23,8.74,1410,943.42
751,57096,18.34,0.12,7.85,0.88,17.71,199,965.32
752,289758,58.55,0.46,54.33,0.86,4.18,2511,1798.86
753,23819,10.87,0.37,51.29,0.43,25.49,722,1172.96
754,197816,9.89,0.38,135.16,0.15,5.46,2723,462.2
755,119670,13.25,0.15,23.51,0.82,7.12,1926,2927.49
756,201850,28.83,0.48,167.22,0.6,15.34,1007,1992.15
757,220254,16.42,0.15,87.84,0.09,0.15,667,1443.62
758,216921,10.86,0.42,119.06,0.39,0.55,477,1714.2
759,119829,35.58,0.33,39.85,0.6,19.0,2759,2544.35
760,194530,22.26,0.18,40.45,0.55,1.36,1173,2303.99
761,175393,46.79,0.24,144.69,0.15,26.01,356,1972.13
762,112255,25.57,0.38,32.07,0.11,16.46,2636,1875.95
763,260676,56.07,0.07,93.82,0.58,11.43,2471,2944.13
764,197058,17.15,0.33,83.53,0.98,2.01,2944,2885.22
765,258738,41.76,0.14,117.89,0.89,6.86,1680,676.58
766,169774,33.74,0.22,43.64,0.15,11.11,1643,2489.31
767,280359,30.37,0.01,169.62,0.6,4.03,179,1470.77
768,182370,31.58,0.14,96.8,0.72,12.27,803,2448.48
769,125241,59.04,0.15,21.07,0.47,26.76,1192,526.61
770,16241,3.47,0.32,67.99,0.6,24.92,2443,1054.5
771,147052,15.79,0.18,165.51,0.48,17.61,325,1627.86
772,145241,10.89,0.38,134.8,0.08,13.52,1233,484.51
773,190555,57.57,0.23,36.93,0.01,18.6,2758,367.17
774,94341,23.45,0.44,167.65,0.3,29.4,1502,501.16
775,200640,31.04,0.05,3.32,0.94,0.33,215,2585.06
776,138258,45.86,0.32,91.59,0.85,25.17,2597,1314.61
777,316130,52.31,0.23,164.95,0.96,7.13,595,2016.06
778,108356,14.52,0.37,168.67,0.4,23.95,1755,1179.92
779,187537,22.07,0.48,150.77,0.37,13.17,2886,1616.37
780,378988,57.79,0.39,186.64,0.14,4.63,1264,2847.48
781,172596,48.0,0.39,135.49,0.61,24.91,524,2820.03
782,23162,1.75,0.37,58.48,0.57,21.85,434,1335.63
783,84115,14.25,0.14,16.91,0.26,13.67,372,2002.69
784,157073,29.71,0.37,147.58,0.32,21.09,24,2972.04
785,338730,52.8,0.42,114.25,0.34,1.18,892,1246.19
786,110468,3.61,0.45,44.1,0.76,6.28,2180,1552.85
787,149196,24.97,0.31,1.38,0.23,6.97,2590,502.09
788,289985,51.26,0.35,52.93,0.05,2.83,2973,1261.41
789,231087,57.78,0.15,22.09,0.4,10.23,740,1657.65
790,338403,59.53,0.3,110.23,0.83,3.05,1292,233.87
791,64120,12.01,0.0,13.31,0.3,15.67,1204,159.55
792,21741,1.26,0.08,122.79,0.51,27.63,470,3091.27
793,79009,12.79,0.45,49.07,0.36,17.31,654,1340.56
794,58942,16.38,0.39,55.05,0.53,21.98,313,570.66
795,131631,3.47,0.46,18.53,0.63,0.94,1317,1296.63
796,112554,45.89,0.45,12.48,0.94,21.77,573,2231.78
797,85406,11.68,0.27,150.24,0.35,24.5,1917,2438.19
798,152280,37.89,0.24,52.81,0.52,16.37,1834,2241.11
799,53977,19.98,0.16,73.48,0.25,26.21,2264,2820.0
800,276804,55.63,0.36,18.76,0.14,3.22,2169,2986.92
801,114407,5.9,0.36,10.55,0.86,3.4,1582,1932.14
802,240017,27.91,0.39,134.55,0.86,5.54,2665,1416.5
803,150710,10.43,0.16,86.88,0.66,7.48,1865,862.82
804,157104,7.33,0.02,130.87,0.02,9.86,2441,634.23
805,179657,22.84,0.32,47.5,0.36,5.2,991,1658.26
806,190403,57.11,0.48,124.92,0.1,26.63,84,627.14
807,225451,46.48,0.49,193.94,0.54,22.09,2540,3041.61
808,187837,26.83,0.33,182.12,0.72,17.12,508,791.88
809,184658,24.85,0.04,115.58,0.62,11.31,2164,3162.79
810,119034,21.04,0.33,193.71,0.02,27.66,2897,2011.95
811,256049,46.78,0.4,1.66,0.26,0.76,409,752.1
812,247857,46.85,0.17,141.25,0.26,14.15,2486,2218.88
813,126567,42.98,0.04,106.46,0.16,27.96,1932,374.61
814,195358,9.0,0.07,98.56,0.54,1.01,1189,1725.42
815,201697,27.49,0.35,44.86,0.66,3.2,2451,2388.65
816,136874,23.82,0.11,123.03,0.19,19.38,1602,916.1
817,120169,26.26,0.08,113.32,0.31,21.67,1189,131.46
818,196383,26.99,0.5,132.38,0.51,11.77,522,2929.33
819,121197,20.3,0.02,23.73,0.41,10.87,2068,3138.44
820,163248,44.24,0.26,119.22,0.86,22.87,2261,1549.48
821,194328,33.9,0.09,46.28,0.82,6.66,2302,768.49
822,61240,6.4,0.31,127.19,1.0,22.38,1812,2802.99
823,316408,49.93,0.32,185.42,0.24,9.62,1565,2355.31
824,13254,13.68,0.04,28.82,0.46,26.3,2842,2698.06
825,43008,8.85,0.25,120.49,0.74,27.0,1564,1778.79
826,185003,14.92,0.01,168.97,0.08,12.87,2253,1765.48
827,113802,41.7,0.26,78.42,0.63,25.97,258,207.68
828,180409,48.78,0.03,67.06,0.17,18.4,2659,2056.98
829,198958,34.7,0.39,128.95,0.65,14.22,2594,818.13
830,195127,21.3,0.16,55.73,0.37,2.66,2456,664.04
831,155986,32.67,0.47,55.4,0.55,13.64,1459,1191.38
832,158940,2.53,0.1,62.58,0.59,0.17,2683,2498.24
833,101353,0.35,0.07,184.26,0.57,18.83,2731,814.92
834,17755,18.28,0.14,56.21,0.89,29.47,2583,1729.77
835,176910,30.5,0.1,175.87,0.7,19.77,1724,2415.78
836,153910,38.19,0.05,75.09,0.43,18.69,1223,1842.54
837,290220,56.17,0.29,199.44,0.94,15.94,1706,3073.17
838,88855,28.56,0.12,86.77,0.1,26.3,1875,203.52
839,197061,56.66,0.21,11.32,0.67,13.68,404,850.19
840,127265,43.46,0.07,97.92,0.43,26.9,1202,2088.73
841,104028,7.84,0.47,49.33,0.43,10.76,516,1359.34
842,87385,39.4,0.16,6.74,0.88,22.05,2755,2540.66
843,117597,1.42,0.49,39.03,0.41,4.41,988,2123.17
844,178264,36.95,0.36,140.91,0.43,19.88,882,630.99
845,125714,31.62,0.03,89.34,0.72,19.96,1570,1267.37
846,144404,4.04,0.13,61.56,0.75,2.79,1844,757.51
847,68096,3.85,0.16,78.37,0.35,17.1,2508,900.11
848,230322,58.09,0.04,123.26,0.7,19.36,2971,1874.59
849,385301,57.0,0.39,188.95,0.23,3.48,2851,2438.81
850,185971,45.5,0.49,110.67,0.85,19.26,1282,2005.77
851,208847,45.89,0.2,3.83,0.98,5.61,2508,2124.84
852,122889,47.87,0.06,97.7,0.59,29.08,236,2675.45
853,207466,56.62,0.12,3.83,0.81,11.03,2591,317.27
854,52974,17.23,0.17,135.21,0.85,29.61,1025,779.57
855,23773,6.06,0.23,37.15,0.42,22.23,2740,191.24
856,290026,45.3,0.11,70.93,0.15,1.1,209,2842.47
857,86216,5.27,0.49,77.57,0.87,13.97,2662,279.73
858,314955,50.52,0.05,181.69,0.31,9.66,2034,1746.4
859,242077,14.83,0.34,162.99,0.51,2.14,2901,1577.54
